target,source,adj,noun,article,ID,adjFreq,nounFreq,targetFreq,adjConc,nounConc,targetConc,adjVal,nounVal,targetVal,targetAbsVal,adjAbsVal,nounAbsVal,adjContVal,nounContVal,targetContVal,adjContAbsVal,nounContAbsVal,targetContAbsVal
war,exciting love,exciting,love,indefinite,20,-0.70494049,4.078401140993403,3.213893791966557,-1.0362648735066395,-0.9303532914922604,0.5716655079843928,2.263842026037382,2.3030610481991682,-2.222814109270965,2.222814109270965,2.263842026037382,2.3030610481991682,1.4304939835543522,1.233254246534438,-2.460881661401038,1.4304939835543522,1.233254246534438,2.460881661401038
teaching,warming light,warming,light,indefinite,21,1.6172199929455715,3.2306240696176287,2.311031587229642,0.292444064491938,1.1301083949693023,-0.2082288686669464,NA,1.165709405507367,NA,NA,NA,1.165709405507367,-0.003603271027941099,0.4442952984547806,0.6990632921055042,0.003603271027941099,0.4442952984547806,0.6990632921055042
medicine,tender love,tender,love,no_article,22,1.942584135490672,4.078401140993403,2.5247484749297295,-0.43930868397104667,-0.9303532914922604,1.688551281954212,1.1029589700485087,2.3030610481991682,0.655862117404146,0.655862117404146,1.1029589700485087,2.3030610481991682,0.5346968445889089,1.233254246534438,-0.03236739934334391,0.5346968445889089,1.233254246534438,0.03236739934334391
truth,soothing music,soothing,music,no_article,23,1.353026733741365,3.1810709266327812,3.3138459111226584,-1.0362648735066395,1.2263916513460105,-1.0362648735066395,1.5578996271252294,2.044215501931379,1.6677128891782314,1.6677128891782314,1.5578996271252294,2.044215501931379,1.1510710227761385,2.502985053600136,-0.1844063632961941,1.1510710227761385,2.502985053600136,0.1844063632961941
marriage,hot hell,hot,hell,indefinite,24,3.271803176083359,3.6804443050803113,2.904782470606777,1.2263916513460105,-0.6029902198114511,-0.5067069634347429,0.5225174420540728,-1.971812367435533,1.957933653175449,1.957933653175449,0.5225174420540728,1.971812367435533,1.0647786378299264,-0.3405544884369605,0.6045525847834596,1.0647786378299264,0.3405544884369605,0.6045525847834596
food,enjoyable music,enjoyable,music,no_article,25,-0.70494049,3.1810709266327812,3.2083716811526135,-0.9592382684052727,1.2263916513460105,1.6981796075918825,2.0128402842019497,2.044215501931379,1.92655843544602,1.92655843544602,2.0128402842019497,2.044215501931379,1.8496284247216674,2.502985053600136,0.7237182592329907,1.8496284247216674,2.502985053600136,0.7237182592329907
business,tasty wine,tasty,wine,indefinite,26,1.7236973451148232,2.800157173864118,3.5458109524964634,-0.16971556611626296,1.688551281954212,0.23467411066591282,1.4323987562075133,0.6166430952423593,0.3264223312451416,0.3264223312451416,1.4323987562075133,0.6166430952423593,1.5085680461247355,1.171616828715716,0.4525136208306095,1.5085680461247355,1.171616828715716,0.4525136208306095
art,beautiful love,beautiful,love,no_article,27,-0.70494049,4.078401140993403,2.7978825279761255,-0.8436983607532224,-0.9303532914922604,1.0915950924186189,1.9971526753372357,2.3030610481991682,1.4010235384780843,1.4010235384780843,1.9971526753372357,2.3030610481991682,2.1578155138152844,1.233254246534438,1.3483107597960529,2.1578155138152844,1.233254246534438,1.3483107597960529
love,sparkling rainbow,sparkling,rainbow,indefinite,28,1.2425648880999247,1.747554013984274,4.078401140993403,0.2635590875789256,1.4767281179254532,-0.9303532914922604,1.1029589700485087,1.7539947379341605,2.3030610481991682,2.3030610481991682,1.1029589700485087,1.7539947379341605,1.792100168090862,1.4181664999906072,1.233254246534438,1.792100168090862,1.4181664999906072,1.233254246534438
business,relaxing music,relaxing,music,no_article,29,-0.70494049,3.1810709266327812,3.5458109524964634,-0.4007953814203632,1.2263916513460105,0.23467411066591282,2.4520933324139556,2.044215501931379,0.3264223312451416,0.3264223312451416,2.4520933324139556,2.044215501931379,1.299000825541076,2.502985053600136,0.4525136208306095,1.299000825541076,2.502985053600136,0.4525136208306095
